English word	Variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
spinal cord		atsiighąą' íígháán bii'nít'i'	Structure that begins at the the brain and continues down the spine and carries messages between the brain and the rest of the body.	Ats'íís yee hadít'éii atsiighąą' bits'ánít'i' dóó bíígháán bii' nít'i'go ats'iighąą' dóó ats'íístahgó áhoot'éii yił ééhósin										
starch		łikání nanise' yee hadít'é	The main form of stored carbohydrates in plants.	Nanise' ałtaas'éí łikání bii' hólónígíí										
sustainable		baa hą́ą́hasin	When a resource from the environment is not used faster than it is produced in nature.	Nahasdzáán bikáá' honí'ą́ą́góó ha'át'ííshį́į́ chodaa'ínígíí nihwiileehígíí doo bilááhgóó choo'į́į da										
symbiosis		ałhee hi'ná	Any longǫterm physical relationship between individuals of two different species, including mutualism and parasitism.	Hináanii doo t'ááła' nilį́į da nidi ałch'ishdę́ę́' ahee hidi'ná										
taxonomy		yízhí dóó óolyéhígíí	The science of naming and describing organisms.	Na'alkaahk'ehgo t'áá ałtsoní bízhi' dóó íiyisíí át'éhígíí baa hane'										
territory		akéyah	Any area defended by an organism or a group of similar organisms for their own use	Haa'í da haz'ą́ągo hináanii choyooł'į́įgo yaa hóchį'gi	would need to specify "who's land/area". Keya is land									
theory		bik'ehgo na'alkaahii	An explanation for why things work or how things happen that is supported by a large amount of scientific evidence	T'áá ha'át'íi da át'éegi dóó naalnishígi át'éego baa hane' dóó nábinázláago binahjį' áhá'nínígíí łą́ bééhózingo										
thermal energy		aziil	This type of energy (also known as heat energy) is created when molecules move around quickly and randomly within a substance, which releases heat.	Hado bee ayoonaałgo t'áá ha'át'íi da yee hadít'éii, molecules, ahídaha'náahgo yee niidoh dóó bits'á níłdoii										
tissue		hinááhts'óóz ahii' silá	A group of cells that perform a similar function	Hinááhts'ózí t'áá ahedaałt'éego dóó binaanish t'ááłá'ígo				hinááhts'óóz						
trait		hináanii át'é nilį́įgi	A characteristic of an organism that can be observed.	Hináanii bił bidizhchínígíí yit'į́ yileehdi				hináanii						
trophic level		hináanii ch'iyáán nilį́	An organism's position along a food chain	Hináanii ayą́ągo hiná dóó áadi ha'át'ííshį́į́ bich'iiyą' nánídlį́į́góne'				hináanii						
unicellular		hinááhts'óóz naagháii	Organisms that consist of one cell. Compare with multicellular.	Hináanii hinááhts'óóz t'ááłá'ígo bits'íís nilį́. Hináanii náádaała' éí hinááhts'óóz łą́ągo yee bits'íís dahólǫ́.				hinááhts'óóz						
urinary system		łizh bá haz'ą́ągi	The organs that remove waste from the body.	Ats'íís biyi'di siláhígíí ats'íís ałtso choyoos'įįdígíí níláhgóó yits'ą́ąjį' kwííł'ínígíí										
vertebrate		bíígháán dahólónígíí	An animal that has a spinal cord and a skeleton. Compare with invetebrate.	Hináanii naaldeehii, animals, bits'íísts'in dóó bitsiighąą' bíígháán bii' danít'i' ígíí										
vestigial (trait)		ats'iis	Cells, tissues, or organs in a body that have no apparent function and is similar to a functioning organ or structure in an ancestor.	Hinááhts'óóz ats'íís biyi'di binaanish t'ááła'ígo hólónígíí, tissues, ats'ą́ siláii ats'íís biyi'di hólǫ́ nidi doo choo'į́į dago yits'ą́ą́dę́ę́' yigáałii bits'íís hólónígíí ła' choyooł'į́ dóó binaanish hólónígíí t'áá yił aheełt'é										
virus		naałniih	A small parasite that lives within the cells of other organisms, cannot reproduce without the help of the cell it lives inside of, and causes disease.	Hináanii doo yit'į́į dago nááná łahdę́ę́' yigáałgo ats'íís bihinááhts'óóz biyi'di hiná silį́į́', dóó áadi hinááhts'óóz yee binahjį' noosééł yileeh áádóó bits'ą́ą́dóó ąąh dahaz'ą́ haleeh										
water cycle		tó binahat'a'	The movement of water on, above, or below the surface of our planet.	Tó nahasdzáán bikáá'góó dóó biyi' hólǫ́  dóó hót'ááhgóó dahólǫ́ éí hoo'nááł dóó danílínígíí bił ahééhwiizhíísh										
white blood cell		dił łigaaí	Cells that are part of the body's immune system that help the body fight infection and other diseases.	Hinááhts'óóz ats'íís yee bihodééłníi da áyósin éí ii'noot'į́į́', infection, dóó ąąh dahwiidooł'aałii yich'ą́ą́h naalnish										
zoology		naaldeehii naalkaah	The scientific study of animals	Hináanii naaldeehii, animals, ał'ąą át'éego dahyikahígíí haalzííd dóó naalkaahgo bíhoo'aah										
zygote		awéé'	The cell that forms after gametes are joined.	Amá dóó azhé'é bik'eelyéí bee i'niitsąądgo										
