English word	English variant	Diné variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
analyze			t'áádoole'é át'éegi nidanees'ą́ągi naalkaah	To study or examine something in detail, in order to discover more about it	T'áá ha'át'ííshį́į́ baa ajółta' éí doodago jinéł'į́įgo nijiłkaah t'áá nináníłtsojį' éí bee béézhdi'dootį́į́ł biniyé.					When you are confused about an object or idea and you want to know how it works, you will analyze it to better understand it.  					
anaphase			ats'íís bitł'óól ałts'ánísé	The stage of cell division in mitosis or meiosis in which the doubled set of chromosomes separates into two identical groups that move to opposite ends of the cell	Ats'íís bitł'óól ałts'á níséego iiná bitł'óól (DNA) bik'ehgo náás oochíiłii biyi'di naaki ałch'į' naazlá, éí t'áá ahedaałt'éego ałts'ákah dóó ahidiníł náádę́ę́' niikah áádóó ałts'á nísééh.										
ancestor	0		azází	One from whom an individual is descended, whether on the father's or mother's side, at any number of generations.	Hak'éí nát'ą́ą́' ahool'áago hamá dóó hazhé'é dabishchíníinii bits'ą́ą́dę́ę́' hojizhlį́į́'ígíí		less commonly used than ánaasází			Your grandfather, great-grandmother, and great-great grandmother are all your ancestors. 					
ancestor	1		ánaasází	@0	@0		most common			@0					
animal	0		naaldeehii	A large group of multicellular eukaryotic organisms.	Hináanii bits'íís bitł'óól (cells) daholónígíí biyi'di bijéí (nucleus) iiná bitł'óól dóó bik'ehgo náás oochíiłii nídahineeshzhee'. 	living things that move about				People, butterflies, fish, and cats are all examples of animals.					animal-that-move
animal	1		naaldlooshii	@0	@0	living things that trot or walk				@0					animal-that-trot
antibiotic			ch'osh doo yit'íinii bee naatseedí	A substance that kills or inhibits the growth of bacteria.	Ch'osh doo yit'íinii bee yigání éí doodago bee ni'óolziní					When harmful bacteria make you sick, the doctor may give you antibiotics to get rid of the bacteria.					
antibody			ats'íís bee doo bihodééłníinii	A protein produced by the body's immune system when it detects harmful substances	Ats'íís bee doo bihodééłníinii ats'íís hasht'éé yoodlíiłii (protein) áyiił'įįh ats'íís atíidoolíłii yaa ákoniizįįhgo					Antibodies are used by your body to defend itself against things like viruses, bacteria, or even cancer cells that may cause you harm.					
asexual reproduction			biką' dóó bi'áadii t'áá gééd oochííł	The process of creating offspring without exchanging genetic information with another organism through sex.	Azhé'é t'áágééd i'niitsąąh dóó ni'iichííh. Amá t'áá sáhá idínóoltsąął dóó adoołchííł.					A bacteria cell can make a copy of itself by splitting into two cells.  When something reproduces without a partner, it is called asexual reproduction.					
atom			atom	The smallest component of an element having the chemical properties of the element, consisting of a nucleus containing combinations of neutrons and protons and one or more electrons	T'áá ha'át'ííshį́į́ bee ályaii t'ááłá'í si'ą́ągo, atom wolyé, bijéí hólǫ́, bijéí biyi'di proton biniltł'ish shábik'ehgo bii' silá éí positive deiłní dóó neutron bitsiniltł'ish bąą ádin ákondi yee óchíidii, béésh ná'iiláhá nahalingo bii' hólǫ́. Atom bijéí bii' siléí					All matter is made up of atoms just as a crowd is made up of people. Matter can be composed of different types of atoms, or elements, just like the people in a crowd can be men or women, old or young, and short or tall.					
